o,"kseru. he, hai, wahai."
obtrude,kkt. mendesakkan (pendapatnya) (on kepada). to o. o.s. menonjolkan diri.
obtrusion,kb. penonjolan diri.
obtrusive,ks. yang menonjolkan.
obtuse,ks. 1 bodoh. 2 tumpul (of an angle).
obverse,"ks. bagian depan, sebelah muka."
obviate,"kkt. menyingkirkan, meniadakan (necessity keharusan)."
obvious,"ks. jelas, nyata, ternyata. o.remark perkataan yang wajar sekali. -obviously kk. dengan nyata, dengan jelas, tak pelak lagi."
occasion,"kb. saat (for rejoicing). 2 kesempatan. 3 upacara. 4 peristiwa. 5 kejadian. 6 alasan. -kkt. menyebabkan, mendatangkan."
occasional,"ks. 1 sekali-sekali, kadang-kadang. o. headaches sakit kepala sekali-sekali. 2 berkala. o. paper terbitan takberkala. -occasionally kk. adakalanya, kadang-kadang."
occident,kb. negeri barat.
occidental,occidental
occlusion,kb. keadaan kemacetan/macet. coronary a. kemacetan dalam urat nadi.
occult,ks. gaib. the o. sciences ilmu gaib/klenik.
occupancy,kb. (j.-cies) 1 pemilikan. 2 tindakan menginap. ready for immediate o. untuk segera ditempati.
occupant,kb. 1 penghuni. 2 penumpang. None of the cars occupants was hurt Tiada seorangpun dari penumpang-penumpang mobil itu (mendapat)  cedera.
occupation,"kb. 1 pekerjaan, jabatan. 2 pendudukan (of  a country). 3 okupasi, kesibukan."
occupational,ks. yang berhubungan dengan jabatan atau pekerjaan. o. hazard bahaya/risiko dalam pekerjaan.
occupied,lih  OCCUPY.
occupies,lih  OCCUPY.
occupy,"kkt. (occupied) 1 menempati, mendiami (a hous, apartment). 2 menduduki (a country, seat of honor). 3 tinggal dalam (a single room). 4 memakan waktu. 5 mengisi ( o's leisure time). 6 mempergunakan (time, energy). 7 mengambil tempat. occupied ks.  sibuk."
occur,"kki. (occurred) 1 terjadi (of an accident). 2 terpikir oleh.  3 teringat. 4 terdapat 5 menjadi, datang."
occurrence,"kb. kejadian, peristiwa Storms are a frequent o. here Angin ribut sering terjadi disini."
ocean,"kb. lautan, samudera. o. bed/floor dasar laut. ocean-going vessel kapal laut."
oceanfront,"kb. pantai, tanah sepanjang lautan."
oceanic,ks. 1 yang berhubungan dengan lautan. 2 yang berhubungan dengan Oceania.
oceanography,kb. ilmu samudera.
ochre,"kb. hartal, warna kuning tua, oker, warna boreh."
oct.,[October] bulan Oktober.
octagon,octagon
octagonal,ks. bersegi delapan.
octane,kb. oktan.
octave,kb. oktaf.
october,kb. bulan Oktober.
octogenarian,kb. seorang yang berusia 80 tahun.
octopus,kb. ikan gurita/mangsi.
oculist,kb. dokter/ahli mata.
odd,"ks. aneh.  2 gasal, ganjil (number). 3 ekstra, smbilan, taktetap... 4 lebih dari. 5 terasing. 0dd-numbered ks. bernomor gasal. -oddly kk. aneh(nya)."
oddball,"kb. Sl.: yang aneh, yang lain dari lainnya."
oddity,"kb. (j. -ties) keanehan, sifat yang aneh."
odds,"kb., j. rintangan. at o. bertengkar, berselisih. by all o.a) pasti, tanpa ragu-ragu. b). bagaimanapun. odds-on ks. yang mampunyai kemungkinan besar."
ode,kb. syair lyris/pujian.
odious,"ks. membencikan, menjijikkan."
odium,"kb. kebencian, kejijikan."
odor,"kb. bau (busuk), hawa daba. to he in bad o. mendapat nama buruk."
odyssey,"kb. pengembaraan, perjalanan penuh dengan petualangan."
oesophagus,#NAME?
of,kd. 1 a glass of milk segelas susu. 2 dari. 3 kurang. 4 akan. 5 untuk. 6 karena. 7 diantara.
off,"kb. mati (of a swich). -ks. 1 salah. 2 mati, putus (of electricity, water. 3 Inf.: gila, miring. -kk. lagi. off-and-on ks. tak begitu tetap. off-balance ks., kk. jadi bingung, dalam keadaan terhuyung-huyung"
off.,"1 [officer] opsir, perwira. 2 [official] resmi. 3 [office] pejabat."
offal,"kb. sampah, kotoran."
offbeat,"kb. irama iringan. -ks. luar biasa, aneh, tak biasa."
offend,"kkt. 1 menyakitkan hati, melukai hati/perasaan (a friend). 2 mengganggu (by smoking).  -kki. melakukan kesalahan. -offending ks. yang bersalah."
offender,"kb. 1 pelanggar. 2 orang yang bersalah, orang yang berdosa. The chief o. is smog Pelanggaran utama adalah asbut (asap campur kabut dari paberik-paberik)"
offense,"kb. 1 luka perasaan, keadaan sakit hati. 2 serangan (army, sports). 3 pelanggaran. 4 kejahatan. to give o. menyakiti hati. to take o. merasa dihina (at karena)."
offensive,"kb. serangan. to take the o. menyerang, melakukan serangan. -ks. 1 menyakitkan hati, menghina (vulgar, insulting). 2 menusuk hidung. 3 tak sopan. 4 menjijikkan (of odor)."
offer,"kb. 1 tawaran, penawaran. 2 saran, usul. -kkt. 1 memberikan (a chair, money) (to kepada). 2 menawari, menawarkan. 3 memajukan (an opinion). 4 memanjatkan (a prayer).-kki. ada. -offering kb. 1 sumbangan. 2  (musical) persembahan."
offhand,"ks., kk. begitu saja. O., I'd say... Tanpa pikir panjang, saya dapat mengatakan...."
office,kb. 1 kantor.  The whole o. agreed with him Segenap pegawai menyetujuinya. 2 jabatan. public o. jabatan pemerintah. 3 jasa. the good/kind offices jasa-jasa baik. o. hours jam kerja.
officeholder,kb. penjabat negeri.
officer,"kb. 1 Mil.: opsir, perwira. 2 police o. (agen) polisi. 3 pak (cara menegur anggota polisi). 4 pegawai negeri. 5 petugas."
official,"kb. pegawai negeri. 2 (bank) pejabat. high officials pejabat-pejabat tinggi.  -ks. resmi, opisi(i)l. -officially kk. secara resmi."
officialdom,kb. 1 staf pegawai. 2 administrasi.
officiate,"kki. memimpin (at a meeting, ceremony)."
officious,ks. suka mencampuri urusan orang.
offing,"kb. in the o. dekat, sebentar lagi."
offprint,offprint
offset,"kb. pengganti kerugian. o. process cetakan offset. -kkt. 1 menutup kerugian. 2 mengimbangi, memperseimbangi."
offshoot,kb. cabang. 2 bagian.
offshore,"ks. jauh dari pantai, (di) lepas pantai. o. drilling pengeboran jauh dari pantai. o. breeze angin pantai."
offspring,"kb. keturunan, anak-cucu."
often,"kk. sering (kali), kerapkali, acapkali."
oftentimes,#NAME?
ogle,"kkt. mengerling kepada, menjeling."
ogre,"kb. gergasi, raksasa."
oh,"kseru . o,  aduh ! ah, masa !  oh my ! astaga ! to oh and ah over mengeluarkan kata-kata senang."
oil,"kb. minyak, oli.  -kkt. 1 memainyaki. 2 mengisi (a tannker).  -oiled ks. Sl.: mabuk."
oilcloth,kb. taplak yang dilapisi minyak atau cat.
oiler,kb. 1 kapal tangki. 2 tukang minyak mesin.
oilman,kb. (j. -men) karyawan dalam perusahaan tambang paberik atau penjualan minyak.
oilskin,kb. o. coat jas kain minyak.
oily,"ks. 1 berminyak. o. rag lap yang berminyak. 2 licik, manis mulut."
oinment,"kb. obat salep, urap."
okay,"kb., ks., kseru. Inf.: baik, jadi. -kkt. menyetujui."
okla.,[Oklahoma] negarabagian A.S.
okra,kb. semacam kacang-kacangan.
old,"kb. dahulu kala.  -the old j. kaum tua. -ks. 1 tua.  2 lama. 3 kuno. old- timer kb. orang lama, pegawai kawakan. o. woman 1 perempuan tua. 2 isteri. 3 ibu. old-world ks. masa lampau."
olden,"ks. kuno, dahulu. in o. days di zaman kuno."
oldie,kb. Inf.: yang sudah lama dan terkenal.
oldster,kb. orang tua.
oleo,#NAME?
oleomargarine,"kb. margarine, mentega tiruan."
olfactory,ks. pencium. o. organ alat pencium.
oligarchy,"kb. (j. -chies) oligarki, pemerintahan oleh kelompok kecil."
olive,kb. buah zaitun. o. oil minyak zaitun. o. baranch tanda damai.
olympiad,kd. olimpiade.
olympic,"Olympics kb., j. Pertandingan Olympiade. -ks. Olympiade.  the O. Games Pertandingan Olympiade."
omelet(te),kb. telur dadar. cheese o. telur dadar pakai keju.
omen,"kb. pertanda, alamat. good o. pertanda yang baik."
ominous,ks. tak menyenangkan. The outlook is o. Apa yang akan terjadi tampaknya tak menyenangkan.
omission,"kb. penghilangan, kelalaian, tak dicantumkan. O. of the title was a mistake Tidak dicantumkannya judul itu merupakan kesalahan."
omit,"kkt. (omitted) 1 menghilangkan (a chapter, word). 2 mengabaikan. to o. to state o's reasons mengabaikan untuk menyatakan alasan-alasannya."
omnibus,kb. 1 (vehicle) bis penumpang. 2 kumpulan karangan. -ks. yang meliputi berbagai hal. o. bill rencana undang-undang yang meliputi berbagai hal.
omnipotence,kb. kemahakuasaan.
omnipotent,ks. mahakuasa.
omnipresent,ks. ada/hadir dimana-mana.
omniscient,"ks. mahatahu, mahamengetahui."
omnivorous,ks. yang makan segala macam makanan. o. reader seorang yang membaca segala macam bahan bacaan.
on,ks. sedang berlangsung. -kd. 1 diatas. 2 di. 3 pada. 4 mengenai. 5 atas.6 tentang. 7 dengan. 8 dalam. 9 unutk. 10 demi. 11 disebelah 12 akan.
once,"kb. suatu kejadian/waktu.  -kk. 1 sekali. 2 pernah. -ksam. segera sesudah. once-over kb. pandangan sekilas-lintas, periksa sepintas-lalu."
oncoming,"ks. yang mendekat (train, traffic, storm)."
one,"kb. 1 satu. sama. 2 orangnya. -ks. 1 se-. 3 satu.  4 suatu. -kg. seorang. one-armed ks. seorang yang hanya bertangan satu. one-eyed ks. bermata sebelah, bermata satu. one-horse ks. berkuda seekor. one- legged ks. yang berkaki-satu. one-man ks. seorang."
oneness,"kb. keesaan, keutuhan. o. of God Tauhid."
onerous,"ks. berat, sukar."
oneself,lih  SELF.
onetime,"ks. dulu, dahulu. He is a o. actor Dulu dia seorang pemain."
ongoing,"ks. terus-menerus, tanpa berhenti. an o. operation aktivitas yang dilakukan terus-menerus."
onion,"kb. bawang, bakung."
onionskin,kb. kertas dorslah/kaca/minyak.
onlooker,kb. penonton.
only,ks. 1 satu-satunya.  2 tunggal. -kk. hanya. if o. seandainya.
onomatopoeia,"kb. bentuk kata menirukan sesuatu bunyi, pembentukan kata yang meniru suara."
onrush,"kb. deru laju,  gerak deras suatu arus."
onrushing,ks. bergerak maju dengan cepat.
onset,"kb. 1 serangan, serbuan. 2 permulaan. at the o. pada mulanya."
onslaught,kb. serangan gencar.
onstage,"ks., kk. diatas pentas/panggung."
ont.,[Ontario] suatu propinsi di negeri Kanada.
onto,kd. (di)atas. to get o. a camel naik (ke) unta.
onus,"kb. beban, tanggungjawab."
onward,"ks. maju, kedepan. o. march baris yang menuju kedepan. -kk. = ONWARDS."
onwards,"maju, kedepan. from that time o. sejak itu (dan seterusnya)."
onyx,kb. semacam batu akik.
oo,kseru. =  OOH.
oodles,"kb., Inf.: banyak sekali. o. of money uang bertimbun-timbun."
ooh,"kseru. O ! wah ! aduh ! O., that's hot ! Aduh, benar-benar panas !"
oomph,"kb. Sl.: semangat, keuletan, kegembiraan."
ooze,"kb. lumpur, selut. -kkt. mengeluarkan (blood darah). -kki. keluar, menetas."
opal,"kb. (baru) baiduri, mata kucing."
opaque,"ks. tak tembus cahaya, buram."
open,"kb. luar. -ks. 1 terbuka. 2 bebas. 3 buka. 4 terang-terangan (in attitude). 5 berlubang-lubang (texture). 6 lepas. 7 terluang. -opening kb. 1 pembukaan (of a building, an opera, in chess). 2 lubang (in a wall). 3 (vacancy) lowongan."
opener,kb. 1 (can) pembuka. 2 Sport : pembukaan.
opennes,"kb. keterbukaan, sikap hati terbuka, sikap berterus-terang."
opera,kb. opera. o. house gedung opera/kesenian.
operable,ks. 1 dapat dibedah. 2 dapat dijalankan/dioperasi.
operagoer,kb. penggemar opera.
operate,"kkt. 1 menjalankan (a machine, car). 2 menyelenggarakan, mengadakan, mengusahakan (an airline). -kki. to o. for/on membedah, mengoperasi. -operating ks. yang berhubungan dengan eksploitasi."
operatic,ks. yang berhubungan dengan opera.
operation,kb. 1 operasi. 2 Med.: pembedahan. 3 eksploitasi.
operational,ks. cara  bekerja. o problem kesulitan cara kerjanya.That ordinance is o. Peraturan itu berlaku.
operator,"kb. 1 penyelenggara, pengurus (of a restaurant. petugas (of a crane). 3 Tel.: penghubung. 4 Inf.: operator, orang yang licik yang mempergunakan orang-orang dan kejadian-kejadian untuk kepentingannya sendiri."
operetta,kb. operet.
ophtalmologist,kb. dokter (ahli) mata.
ophtalmology,kb. ilmu kedokteran mata.
opiate,"kb. 1 opiun, (obat yang mengandung) candu. 2 madat, racun. Propaganda is an o. for the masses Propaganda adalah racun bagi orang banyak."
opinion,"kb. 1 pendapat. 2 pikiran, pendapat."
opinionated,"ks. dogmatis, berpendirian keras."
opium,"kb. apiun,  candu, madat. o. smoker pemadat, pencandu."
opossum,kb. semacam tupai.
opp.,"[opposite] lawan, bertentangan, berhadapan."
opponent,kb. (pe)lawan.
opportune,"ks. tepat, pantas, menguntungkan, layak (of time). This money is most o. Uang itu kebetulan memang sangat dibutuhkan."
opportunism,kb. faham oportunis.
opportunist,kb. oportunis.
opportunity,kb. (j. -ties) kesempatan. to have the o. berkesempatan.
oppose,kkt. menentang. to o. any move menentang setiap gerak. -opposing ks. yang melawan/menentang. o. arnies tentara perlawanan.
opposite,"kb. 1 lawan. 2 sebaliknya. -ks. berlawanan, bertentangan. -kd. berhadapan dengan, dihadapan."
opposition,"kb. 1 perlawanan, tentangan, oposisi. 2golongan oposisi. partai penentang."
oppress,"kkt. menindas, menekan. -oppressed ks. terimpit."
oppression,"kb. 1 tindasan, tindihan (of people). 2 tekanan. 3 aniaya."
oppressive,"ks. 1 menyesakkan napas (of heat). 2 menindas (of a law, measure)."
oppressor,"kb. penindas, penindih, penginjak."
opprobrium,"kb. kehinaan, kekejian. term of o. istilah penghinaan."
opt.,"1[optician] ahli kacamata. 2 [optical] yang berkaitan dengan mata. 3 [optional] fakultatip, boleh memilih."
optic,ks. yang berhubungan dengan mata. o. nerve saraf mata.
optical,ks. yang berhubungan dengan mata. o. instrument perkakas optik. o. illusion ilusi/kekeliruan penglihatan.
optician,kb. ahli kacamata.
optics,kb. ilmu optic(a).
optimal,ks. paling bagus/tinggi. o. results hasil terbagus.
optimism,"kb. optimisme,  harapan baik."
optimist,kb. optimis.
optimistic,"ks. optimistis, barharapan baik."
optimum,kb. jumlah maksimum. -ks. 1 yang tertinggi. 2 terbaik.  the o. number of students per class jumlah pelajar yang terbaik untuk tiap kelas.
option,kb. 1 kebebasan (on a house). 2 pilihan. to have the o. of boleh memilih. 3 kehendak.
optional,"ks. fakultatif, boleh memilih. o. subject matapelajaran pilihan. -optionally kk. secara bebas-pilih/fakultip."
optometrist,"kb. ahli pemeriksa mata, ahli kacamata."
optometry,kb. ukuran mata.
opulence,"kb. kakayaan, kemewahan."
opulent,"ks. kaya, mewah."
opus,"kb. karya, karangan, buku."
or,ksam. atau. Is this for you or for me ? Ini untuk saudara atau untuk saya ?
oracle,"kb. 1 sabda dewa. 2 ramalan, jawaban yang sangat bijaksana. 3 orang bijaksana, peramal."
oral,"kb. ujian lisan. -ks. 1 lisan (exam, report). 2 mulut, lubang mulut. -orals j. ujian lisan. -orally kk. 1 dengan lisan. 2 dengan minuman, melalui mulut."
orange,kb. jeruk. o. juice air jeruk. -ks. jingga tua. o. blossom bunga limau.
orangeade,kb. air jeruk (campur air dan gula).
orangutan,kb. orang hutan.
oration,kb. pidato.
orator,kb. ahli pidato.
oratorical,ks. bersifat kecakapan pidato.
oratory,"kb. 1 kefasihan berpidato, seni pidato. 2 pidato."
orb,"kb. bola, bulatan."
orbit,"kb. 1 orbit. to put a man/satellite into o. melontarkan seorang/satelit kedalam orbit. 2 lingkaran. o. of the  earth about the sun lingkaran bumi sekeliling matahari. -kkt. 1 mengorbitkan (the earth, the moon). 2 melontarkan (seseorang, sebuah satelit)."
orbital,ks. yang berhubungan dengan orbit. o. velucity kecepatan orbit/mengitari.
orchard,kb. kebun buah-buahan.
orchestra,kb. 1 orkes. string o. orkes gesek. 2 tempat duduk dibawah didepan panggung.
orchestral,ks. yang berhubungan dengan orkes. o. composition komposisi/gubahan untuk orkes.
orchestrate,kkt. mengarang/menyusun musik.
orchestration,kb. tehnik mengarang/mengatur musik.
orchid,kb. anggrek. -ks. ungu muda.
ord.,"1 [ordinal] urutan. 2 [order] perintah, tatatertib. 3 [ordinance] peraturan. 4 [ordinary] biasa."
ordain,"kkt. 1 mentahbiskan, menobat(a minister). 2 mentakdirkan. It was ordained that he die Sudah ditakdirkan bahwa ia harus/akan mati."
ordeal,kb. 1 cobaan berat. 2 siksaan.
order,"kb. 1 perintah. 2 pesanan. 3 urutan. 4 tatatertib, ketenteraman. 5 orde. 6 golongan, orde. 7 acara. 8 (decoration) medali, tanda jasa. -ordering kb. mengadakan pesanan- pesanan, pemesanan."
orderliness,"kb. ketertiban, kerapian, keteraturan."
orderly,"kb. 1 (hospital) perawat, mantri, jururawat, ordonan. 2 Mil.: ordonan, pengawal. -ks. 1 rapi. o. room kamar yang rapi. 2 tertib. o. crowd kelompok atau orang banyak yang tertib."
ordinal,kb. nomor urutan.- ks. urut(an). o. number bilangan urutan.
ordinance,"kb. ordonansi, peraturan. local o. peraturan setempat."
ordinary,"kb. out of the o. luar biasa, aneh. -ks. biasa. o. house rumah biasa. -ordinarily kk. biasanya."
ordinate,kb. ordinat.
ordination,kb. pentahbisan.
ordnance,"kb. 1 meriam, artileri. 2 senjata/perlengkapan perang."
ore,"kb. biji(h), cebakan. iron o. bijih besi. o. deposit lapisan bijih."
ore(g).,[Oregon] negarabagian A.S.
oregano,kb. semacam rempah-rempah.
organ,"kb. 1 Mus.: orgel, organa. 2 Anat.: bagian badan, organ, alat tubuh. 3 alat pemerintahan (police force, etc.). 4 organ (majalah perusahaan)."
organist,kb. pemain orgel.
organization,kb. 1 organisasi. party o. organisasi partai. 2 hal mengatur. o. of an outing mengatur darmawisata.
organizational,ks. yang berhubungan dengan organisasi. o. meeting rapat organisasi.
organize,"kkt. 1 mengatur. to be good at organizing pandai mengatur. 2 mengorganisasi(kan), mengorganisir, mengadakan (picnic, meeting)."
organizer,kb. organisator.
orgasm,"kb. syahwat, puncak nafsu."
orgy,"kb. (j. -gies) pesta pora (yang gila-gilaan), sukaria."
orient,"kb. The O. Asia Timur. -kkt. mengorientasi, menghadap. to o. o.s. mengadakan penyesuaian diri, menyesuaikan diri."
oriental,kb. orang timur/Asia. -ks. timur. o. art seni timur. O. rug permadani dari Timur.
orientation,kb. orientasi. o. course kursus orientasi.
orifice,"kb. lubang, mulut."
orig.,1 [origin] asal. 2 [original] asli.
origin,"kb. 1 asal (of a word). 2 asal-usul. 3 asal mula, pangkal (of a quarrel, rumor). 4 sumber."
original,"kb. yang asli. This is the o. of that painting Inilah lukisan asli dari gambar itu. 2 orisinil. o. idea pikiran yang orisinil. 3 semula. o. price harga semula. -originally kk. bermula, semula."
originality,kb. keaslian.
originate,"kkt. yang mula-mula mempunyai, yang memulai. -kki. berasal. That idea originated here Gagasan itu berasal disini."
originator,kb. pemula.
oriole,kb. semacam (burung) kepodang.
ornament,kb. 1 perhiasan. o. around her neck perhiasan di lehernya. 2 hiasan. She's an o. to any room Dia merupakan hiasan di kamar manapun. Christmas tree o. hiasan pohon Natal.
ornamental,ks. yang berhubungan dengan (per)hiasan. o. tree pohon hias.
ornamentation,kb. barang-barang perhiasan.
ornate,"ks. 1 banyak hiasan, terhias banyak. o. architecture arsitektur yang terlalu penuh hiasan. 2 berbunga (of language)."
ornery,ks. 1 Inf.: bengal (of amule). 2 Inf.: kasar (of a remark).
ornithologist,kb. ahli ilmu burung.
ornithology,kb. ilmu burung.
orphan,"kb. anak yatim (-piatu). o. asylum rumah yatim(-piatu), panti asuhan anak yatim. -kkt. menjadikan yatim. to be orphaned at the age of five menjadi yatim pada umur lima tahun."
orphanage,"kb. rumah yatim/piatu, rumah panti asuhan."
orthodontics,kb. orthodonsi.
orthodontist,kb. dokter gigi yang keahliannya merapikan gigi.
orthodox,kb. the o. kaum ortodoks. -ks. ortodoks. o. Christian orang Kristen ortodoks. to follow o. practices mengikuti cara-cara yang telah menjadi kebiasaan.
orthodoxy,"kb. (j. -xies) sifat ortodoks, kekolotan."
orthography,kb. (j. -phies) ortografi.
orthopedic,ks. mengenai pembedahan tulang. o. surgeon dokter bedah bagian tulang-tulang.
orthopedics,orthopedics
orthopedist,kb. ahli bedah bagian tulang.
oscillate,"kki. 1 berpaling (of fan). 2 berkisar, terombang-ambing.  to o. between good and bad terombang-ambing antara buruk dan baik. -oscillating ks. bergerak kesana-kemari, bergoyang (kesana kemari)."
oscillation,"kb. osilasi, goyangan."
osculate,kkt. mencium.
osmosis,kb. 1 osmosa. 2 pelajaran/pengertian secara berangsur-angsur.
ossifies,lih  OSSIFY.
ossify,"kki. (ossified) 1 menjadi tulang, mengeras. ossified tissue jaringan yang menulang. 2 menjadi kaku  (of o's mind)."
ostensible,"ks. 1 pura-pura, seolah-olah. Her o. purpose was... Maksudnya seolah-olah... 2 nyata. There was no o. reason Tak ada alasan yang nyata. -ostensibly kk. pura-pura."
ostentation,kb. lagak-lagu yang memperagakan.
ostentatious,"ks. suka pamer, sok, berlagak."
osteology,kb. ilmu tulang.
osteopath,kb. ahli osteopati.
osteopathy,kb. osteopati.
ostracism,kb. pengasingan/pemboikotan dari masyarakat/pergaulan.
ostracize,"kkt. mengasingkan, memboikot, mengesampingkan (dari masyarakat)."
ostrich,kb. (burung) unta.
other,kb. others j. orang lain. the happiness of others kebahagian orang lain. -ks. 1 yang lain. 2 satu lagi.
otherwise,ks. sebaliknya. The outcome could have been o. Akibatnya mungkin sebaliknya. -kk. lain. to do o. berbuat lain. -ksam. kalau tidak.
otolaryngology,"kb. ilmu penyakit telinga, hidung dan tenggorokan."
otter,"kb. berang-berang, anjing air."
ouch,"kseru. aduh, aih. O, that hurts ! Aih, sakit !"
ought,"kb. -kkb. 1 sebaliknya. 2 seharusnya. 3 harus, mesti."
ounce,kb. ons.  to sell by the o. menjual per ons.
our,kg. 1 kami. o. house rumah kami. 2 kita. o. country negeri kita. 3 kami/kita punya.
ours,kg. 1 milik kami/kita. friends of o. teman-teman kami. 2 kepunyaan kita/kami.
ourselves,lih  SELF.
oust,"kkt. 1 mengusir. 2 memecat, mengeluarkan (from a firm, post). 3 mendaulat."
ouster,"kb. 1 tindakan pemecatan. 2 pengusiran, pendaulatan. 3 orang yang mendaulat/mengusir."
out,kb. 1 orang/partai yang tidak memegang tampuk pimpinan. 2 jalan keluar. -ks. 1 tidak lagi berkuasa. 2 tidak mode lagi (of clothes). -kk. 1 tidak di rumah. 2 rugi. 3  sudah terbit. 4 tak bisa diterima. 5 pingsan. 6 sedang mengadakan. 7 diluar.
outargue,kkt. mengalahkan (seseorang) dalam perbantahan.
outbid,kkt. (outbid) mengalahkan seseorang) dalam menawar.
